week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-05,-0.7252060186835503,0.6118308795726081,-0.6512987559790848,0.08694565421398101,2.0
2022-08,-1.5603960136567543,1.0,-0.568159807163162,1.0,1.0
2022-10,0.6239672139462433,0.11757710356106786,-0.7952419825912633,0.12464199714903329,2.0
2022-11,0.6123860731347394,1.0,,1.0,1.0
2022-12,-0.49999999999999994,1.0,-0.5,1.0,1.0
2022-18,1.046823167105473,1.0,-0.568159807163162,1.0,1.0
2022-19,2.387442968277061,1.0,-0.34420943939592547,1.0,1.0
2022-20,0.6556512148061426,1.0,-0.34420943939592547,1.0,1.0
2022-21,1.0667430479304492,0.6127178576091885,0.3882904260783176,1.5721947568600583,2.0
2022-24,-0.04749848940302945,0.6159700103677033,-0.059845294135629334,1.1493436291960752,4.0
2022-25,-0.31859130241967315,1.0,-0.534435116589223,1.0,1.0
2022-26,0.17034304386221083,0.47361138633925326,-0.46211868499711584,0.1104872586361734,5.0
2022-27,-0.7327338488194994,1.0670105033205894,-0.11369456159303762,0.9023306477460523,10.0
2022-28,-0.48707740160410284,1.0991401995386565,-0.520787127555231,0.22077030025473704,11.0
2022-29,0.16348877592940447,0.9611738660199457,-0.4853913107776667,0.4716914189010599,8.0
2022-30,0.0030857255202935327,0.7345244554643037,0.2804777410130657,1.7187143074592732,9.0
2022-31,-0.39195369275411995,0.5918887866479458,0.13360333116098014,0.8711988535465148,5.0
2022-32,-0.3855244635043312,0.6672156003817957,-0.2390165142947734,0.7986185345072508,5.0
2022-33,-0.7071067811865479,1.0,,1.0,1.0
2022-34,-0.5005080175990224,0.8049164102357664,-0.15105120763173158,0.7953953228143047,4.0
2022-35,-0.02569158686789974,0.8736455096047322,-0.25049096996107834,0.6612945859372227,5.0
2022-36,-0.38520813656549746,1.3532201696979451,-0.13045177384400347,1.0445188083853867,5.0
2022-37,-1.1757977480098043,1.162904158636923,0.41752743077023996,1.3462783453469924,2.0
2022-38,-0.15925049201311683,0.7802110834955216,-0.2208329177827632,0.9424660434563007,13.0
2022-39,-0.005570607324476683,0.9078476766340683,0.12645017863126906,1.064498464513409,78.0
2022-40,-0.02041319266064417,0.8837730428754141,-0.07853091141965733,0.8854621721306668,73.0
2022-41,0.09323004205197367,1.0355687575977481,-0.0017375536267721203,1.0487524484488464,139.0
2022-42,0.022145396920826427,1.0296280318964235,-0.013233236383465857,0.9014237229992647,188.0
2022-43,-0.04190605466769428,0.952665587306668,0.1108350909175649,1.161061658354469,160.0
2022-44,0.0411676960973563,0.8733871389006065,-0.03326638519035527,0.9489019622969449,190.0
2022-45,0.1127105884252404,1.0446789074452754,0.15787215782993563,1.0724236009520194,178.0
2022-46,0.043126247915360745,1.014282925432454,-0.08246616627229375,0.8500164665201958,221.0
2022-47,-0.0010293906132943344,0.9276685235010355,-0.0829952107418873,0.8271702296430254,279.0
2022-48,-0.022867012672156132,1.0574288484822072,-0.08597470792695824,0.9200990546159415,289.0
2022-49,0.03733193507957847,0.987764664168735,0.0670499684738195,1.1195481049514582,192.0
2022-50,-0.19596769058076924,0.9337387226194055,-0.010854631517399356,0.9567904687140047,178.0
2022-51,0.03936977401610017,0.8951066106638672,0.23671143218704985,1.1336541828290456,164.0
2022-52,0.03581668757248449,1.0529519006953234,-0.04350595959946735,0.8860363405769698,57.0
2023-00,0.705521125915418,1.230870166676797,1.1639788798814004,1.0,3.0
